,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,cost_type,SSE,LL,BIC
51,252,8018,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.587000000000001,5.587000000000001,0.45899999999999996,0.0,0.547,-1.4680000000000002,-5.4670000000000005,-1.4680000000000002,4.234,3.568,-1.975,-6.407,5.102,2.6910000000000003,-0.547,-1.844,5.4670000000000005,7.979,7.058,1.844,SSE,4.337,-4.685,84.23
52,253,8019,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.06,5.06,0.644,0.0,1.704,2.275,0.875,-0.629,4.57,1.4080000000000001,-1.314,1.046,3.405,1.314,0.0,-1.1340000000000001,3.409,1.504,-0.711,-1.222,SSE,5.931,-14.699000000000002,104.258
53,254,8020,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.115,5.115,0.297,0.0,1.903,-0.507,-4.6739999999999995,-2.0869999999999997,4.6739999999999995,3.06,-1.722,-2.8569999999999998,7.4079999999999995,7.904,-1.192,-0.337,12.350999999999999,10.940999999999999,-0.337,-0.16899999999999998,SSE,3.7430000000000003,0.031,74.798
54,255,8021,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.15,5.15,1.097,0.0,0.718,0.883,1.263,0.772,1.673,0.465,-0.046,-0.0,0.564,0.046,0.046,0.564,1.882,1.413,-0.615,0.091,SSE,4.713,-7.343,89.546
55,256,8022,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.915,4.915,0.237,0.0,4.092,-2.847,-0.847,-8.72,11.432,0.634,-0.423,-2.383,5.221,0.21100000000000002,-5.53,-2.157,8.215,3.577,-0.423,-0.847,SSE,4.6530000000000005,-6.933,88.726
56,257,8023,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.482,5.482,0.203,0.0,0.24600000000000002,-3.8819999999999997,-0.74,-3.321,-3.5989999999999998,-7.218999999999999,-0.0,-2.779,-2.779,-8.54,-2.779,3.8819999999999997,0.0,-0.24600000000000002,-2.515,-2.515,SSE,5.356,-11.436,97.73200000000001
57,258,8024,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.577000000000001,6.577000000000001,1.005,0.0,0.9640000000000001,2.332,-0.0,-1.3030000000000002,1.936,1.8259999999999998,-0.843,-1.935,0.784,2.693,-1.23,-1.631,1.4580000000000002,1.725,-2.186,-0.9640000000000001,SSE,2.306,15.537,43.786
58,259,8025,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,3.137,3.137,0.27899999999999997,0.0,2.415,2.415,-2.824,-6.5760000000000005,1.83,3.2510000000000003,-3.699,-3.7,7.869,4.428999999999999,-0.718,-0.7190000000000001,4.428999999999999,10.546,-1.2670000000000001,0.5379999999999999,SSE,7.664,-22.901999999999997,120.665
59,260,8026,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.739,4.739,0.366,0.0,6.402,5.312,0.273,0.547,11.92,5.997999999999999,0.0,-1.1059999999999999,5.312,5.012,-1.995,-0.965,5.999,2.477,-0.41,0.825,SSE,4.019,-2.2430000000000003,79.346
60,261,8027,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.718999999999999,4.718999999999999,0.20600000000000002,0.0,11.409,7.545,-2.228,-0.976,10.692,8.935,0.731,-7.545,7.545,4.416,-1.4709999999999999,-2.747,7.979,8.935,-6.746,-2.228,SSE,3.812,-0.552,75.96300000000001
