,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,fit_to,gaze,gaze_bias,inv_temp,model_descr,sub_ID,sub_ind
16,11.074000000000002,6.94,0.322,0.322,3.016,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.04,0.993,-0.7659999999999999,0.249,,joint,0,0.0,0.348,All Motives,7012,217
17,1.038,11.958,0.5529999999999999,0.5529999999999999,2.579,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.669,3.98,-1.4780000000000002,0.079,,joint,0,0.0,0.48,All Motives,7013,218
18,43.521,-9.284,0.897,0.897,5.008,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.485,1.826,-0.507,-0.314,,joint,0,0.0,0.632,All Motives,7014,219
19,65.875,-20.461,0.8079999999999999,0.8079999999999999,7.101,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.6940000000000001,2.077,-1.271,0.8909999999999999,,joint,0,0.0,0.421,All Motives,7015,220
20,28.394,-1.721,0.795,0.795,3.954,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.369,4.542,-2.045,0.888,,joint,0,0.0,0.339,All Motives,7016,221
21,9.003,7.975,0.754,0.754,2.92,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.584,1.704,-0.264,-0.695,,joint,0,0.0,0.391,All Motives,7017,222
22,-5.339,15.146,0.409,0.409,2.334,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.097,1.2009999999999998,1.39,0.612,,joint,0,0.0,1.413,All Motives,7018,223
23,36.372,-5.709,0.518,0.518,4.479,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.296,2.778,-1.332,-0.111,,joint,0,0.0,0.339,All Motives,7019,224
24,9.694,7.629,1.294,1.294,2.952,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.007,1.905,-0.465,0.154,,joint,0,0.0,0.45,All Motives,7021,225
25,-4.127,14.54,0.715,0.715,2.379,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.683,1.375,-0.253,-0.407,,joint,0,0.0,0.5,All Motives,7022,226
26,51.198,-13.122,0.909,0.909,5.646,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.567,17.19,8.584,-13.914,,joint,0,0.0,0.021,All Motives,7023,227
27,11.316,6.819,1.152,1.152,3.028,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.37,2.161,-2.319,0.006999999999999999,,joint,0,0.0,0.444,All Motives,7024,228
28,20.77,2.091,0.562,0.562,3.51,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.057,3.217,-1.159,-0.7709999999999999,,joint,0,0.0,0.387,All Motives,7025,229
29,107.463,-41.255,0.458,0.458,13.601,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.955,0.82,0.018000000000000002,-3.192,,joint,0,0.0,0.35,All Motives,7026,230
30,-4.467,14.71,1.023,1.023,2.366,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.053,0.713,1.497,0.215,,joint,0,0.0,0.4920000000000001,All Motives,7027,231
31,50.93,-12.989,1.452,1.452,5.622999999999998,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.928,2.084,-1.067,0.248,,joint,0,0.0,0.522,All Motives,7028,232
32,28.067,-1.557,1.141,1.141,3.934,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.657,1.796,-0.275,-0.006999999999999999,,joint,0,0.0,0.388,All Motives,7029,233
33,29.923,-2.485,0.828,0.828,4.05,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.699,1.828,-1.654,0.32,,joint,0,0.0,0.463,All Motives,7030,234
34,25.052,-0.05,0.942,0.942,3.753,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.989,0.648,-0.828,-0.611,,joint,0,0.0,0.935,All Motives,7031,235
