,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
3,4,coop,coop,SG,trust,trust,batch4,5002,live,4,complete,0.35
0,1,coop,coop,SH,trust,trust,batch4,5002,live,4,complete,0.35
1,2,coop,coop,HG,Nash,Nash,batch4,5003,live,4,complete,0.26
2,3,def,def,PD,Nash,Nash,batch4,5003,live,4,complete,0.26
3,4,def,def,SG,Nash,Nash,batch4,5003,live,4,complete,0.26
0,1,def,def,SH,Nash,Nash,batch4,5003,live,4,complete,0.26
1,2,coop,coop,HG,opt,opt,batch4,5004,live,4,complete,0.33
2,3,def,def,PD,opt,opt,batch4,5004,live,4,complete,0.33
3,4,def,def,SG,opt,opt,batch4,5004,live,4,complete,0.33
0,1,coop,coop,SH,opt,opt,batch4,5004,live,4,complete,0.33
1,2,coop,coop,HG,trust,trust,batch4,5005,live,4,complete,0.62
2,3,coop,coop,PD,trust,trust,batch4,5005,live,4,complete,0.62
3,4,coop,coop,SG,trust,trust,batch4,5005,live,4,complete,0.62
0,1,coop,coop,SH,trust,trust,batch4,5005,live,4,complete,0.62
1,2,coop,coop,HG,trust,opt,batch4,5006,live,3,complete,0.36
2,3,coop,def,PD,trust,opt,batch4,5006,live,3,complete,0.36
3,4,coop,def,SG,trust,opt,batch4,5006,live,3,complete,0.36
0,1,coop,coop,SH,trust,opt,batch4,5006,live,3,complete,0.36
1,2,coop,coop,HG,trust,opt,batch4,5008,live,4,complete,0.51
2,3,coop,def,PD,trust,opt,batch4,5008,live,4,complete,0.51
3,4,coop,def,SG,trust,opt,batch4,5008,live,4,complete,0.51
0,1,coop,coop,SH,trust,opt,batch4,5008,live,4,complete,0.51
1,2,coop,coop,HG,none,opt,batch4,5009,live,4,complete,0.58
2,3,coop,def,PD,none,opt,batch4,5009,live,4,complete,0.58
3,4,coop,def,SG,none,opt,batch4,5009,live,4,complete,0.58
0,1,def,coop,SH,none,opt,batch4,5009,live,4,complete,0.58
1,2,coop,coop,HG,opt,opt,batch4,5010,live,4,complete,0.3
2,3,def,def,PD,opt,opt,batch4,5010,live,4,complete,0.3
3,4,def,def,SG,opt,opt,batch4,5010,live,4,complete,0.3
0,1,coop,coop,SH,opt,opt,batch4,5010,live,4,complete,0.3
1,2,coop,coop,HG,trust,trust,batch4,5013,live,4,complete,0.56
2,3,coop,coop,PD,trust,trust,batch4,5013,live,4,complete,0.56
3,4,coop,coop,SG,trust,trust,batch4,5013,live,4,complete,0.56
0,1,coop,coop,SH,trust,trust,batch4,5013,live,4,complete,0.56
1,2,coop,def,HG,none,none,batch5,6001,live,4,complete,0.26
2,3,coop,coop,PD,none,none,batch5,6001,live,4,complete,0.26
3,4,def,coop,SG,none,none,batch5,6001,live,4,complete,0.26
0,1,coop,coop,SH,none,none,batch5,6001,live,4,complete,0.26
1,2,coop,coop,HG,trust,trust,batch5,6002,live,4,complete,0.22
