,trial,S,T,gt,player_type,choice,conf,score,score_cumul,radio_RT,submit_RT,block,self-report,batch,subID,mode,psiturk_status,data_status,bonus
15,15,3,12,PD,pess,def,80%,1,10,2592,3142,0,"maximize winnings but minimize losses, to be fair too",batch1,2004,live,4,complete,0.58
16,0,7,15,SG,opt,def,70%,1,11,4598,5200,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
17,1,0,12,PD,opt,def,80%,1,12,3717,4370,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
18,2,3,5,SH,opt,coop,80%,1,13,5411,6331,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
19,3,7,5,HG,opt,coop,80%,1,14,1682,2408,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
20,4,3,12,PD,opt,def,80%,1,15,3520,3852,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
21,5,7,8,HG,opt,coop,60%,1,16,1996,3024,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
22,6,0,8,SH,opt,coop,70%,1,17,3626,4278,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
23,7,10,15,SG,opt,coop,80%,0,17,3040,3840,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
24,8,10,12,SG,opt,coop,80%,0,17,2149,2719,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
25,9,0,15,PD,opt,def,80%,1,18,3066,3619,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
26,10,0,5,SH,opt,coop,70%,1,19,2740,3404,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
27,11,10,8,HG,opt,coop,70%,1,20,2210,4081,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
28,12,7,12,SG,opt,def,70%,1,21,2287,2775,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
29,13,3,8,SH,opt,coop,70%,1,22,3594,4568,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
30,14,3,15,PD,opt,def,70%,1,23,2149,2485,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
31,15,10,5,HG,opt,coop,70%,1,24,2850,6306,1,maximize gains and minimize losses and to be fair.,batch1,2004,live,4,complete,0.58
0,0,7,12,SG,opt,coop,70%,0,0,15334,17808,0,to get the most points.,batch1,2005,live,4,complete,0.63
1,1,7,8,HG,opt,def,80%,0,0,2943,4342,0,to get the most points.,batch1,2005,live,4,complete,0.63
2,2,0,5,SH,opt,def,90%,0,0,4129,5655,0,to get the most points.,batch1,2005,live,4,complete,0.63
3,3,3,15,PD,opt,def,100%,1,1,8294,9136,0,to get the most points.,batch1,2005,live,4,complete,0.63
4,4,0,12,PD,opt,def,90%,1,2,2961,3498,0,to get the most points.,batch1,2005,live,4,complete,0.63
5,5,0,8,SH,opt,def,70%,0,2,8220,8756,0,to get the most points.,batch1,2005,live,4,complete,0.63
6,6,10,12,SG,opt,coop,90%,0,2,1752,3028,0,to get the most points.,batch1,2005,live,4,complete,0.63
7,7,10,5,HG,opt,coop,100%,1,3,11028,12450,0,to get the most points.,batch1,2005,live,4,complete,0.63
8,8,10,8,HG,opt,coop,90%,1,4,2377,3225,0,to get the most points.,batch1,2005,live,4,complete,0.63
9,9,10,15,SG,opt,coop,60%,0,4,1961,3120,0,to get the most points.,batch1,2005,live,4,complete,0.63
