sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC,model_type,features
22,2030,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.102,0.0,3.318,-0.855,-9.9,-7.791,-16.108,0.652,3.2710000000000004,-13.407,-14.048,19.451,11.833,-11.017000000000001,-4.79,9.486,10.235,-2.333,-0.858,SSE,4.463,-5.596,90.211,FeatureRL,CoST
23,2031,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,3.162,3.162,0.152,0.0,2.661,8.423,-1.264,-1.714,-8.959,1.226,6.716,-4.802,-2.326,2.575,4.055,-1.4,0.079,7.354,6.433,1.0270000000000001,-5.034,SSE,2.7960000000000003,9.362,60.295,FeatureRL,CoST
24,2032,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.115,0.0,-2.945,2.076,1.6440000000000001,1.2109999999999999,3.8169999999999997,7.856,11.363,1.202,1.6440000000000001,19.815,1.6469999999999998,3.3819999999999997,-3.403,9.797,2.076,10.307,-18.833,SSE,8.995,-28.024,135.067,FeatureRL,CoST
25,2033,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.49,1.49,0.163,0.0,5.516,3.563,2.931,-1.18,-8.516,3.71,2.354,-2.485,-6.05,7.44,6.454,-9.449,-2.174,0.789,2.15,-6.9,-11.394,SSE,2.479,13.222999999999999,52.574,FeatureRL,CoST
26,2034,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.124,0.0,0.42100000000000004,-0.418,1.599,-8.225,-8.224,6.879,6.882999999999999,-8.22,-11.572000000000001,6.8839999999999995,10.729000000000001,-4.961,-6.3020000000000005,5.46,12.059000000000001,-6.763999999999999,-9.259,SSE,2.271,16.017,46.985,FeatureRL,CoST
27,2035,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,3.548,3.548,0.32899999999999996,0.0,3.9930000000000003,0.42700000000000005,1.083,-0.46,-1.87,-1.5959999999999999,7.386,-0.215,-4.81,6.97,5.5,0.423,-5.9270000000000005,3.0060000000000002,4.385,0.9420000000000001,-5.206,SSE,4.338,-4.684,88.38600000000001,FeatureRL,CoST
28,2037,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.094,0.0,2.4330000000000003,-5.1,-12.068,7.212999999999999,-13.411,-0.833,-14.103,4.15,-4.561,-8.424,-10.189,9.232000000000001,-7.856,19.415,-1.365,7.864,5.334,SSE,8.647,-26.764,132.547,FeatureRL,CoST
29,2039,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.565,0.565,0.163,0.0,3.9560000000000004,-3.4160000000000004,0.601,-6.7620000000000005,-6.982,0.113,0.382,-3.6289999999999996,5.01,0.10300000000000001,5.568,0.309,-7.276,5.131,-0.08199999999999999,-3.0010000000000003,-3.657,SSE,3.904,-1.3119999999999998,81.643,FeatureRL,CoST
30,2040,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.081,0.0,3.641,-6.736000000000001,14.447000000000001,3.3280000000000003,-4.865,1.357,-3.645,8.312999999999999,-10.59,-6.737,0.096,-0.536,0.08,-9.931000000000001,3.319,6.0889999999999995,-9.93,SSE,6.175,-15.989,110.99700000000001,FeatureRL,CoST
31,2041,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.012,0.012,0.149,0.0,2.6660000000000004,-0.642,-3.658,-3.9989999999999997,-3.32,5.622999999999999,-1.9909999999999999,-8.727,-14.255999999999998,11.182,5.624,0.055,-2.329,9.628,8.336,-1.6569999999999998,-2.987,SSE,4.3580000000000005,-4.834,88.68700000000001,FeatureRL,CoST
