,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,cost_type,SSE,LL,BIC
36,37,2048,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.5319999999999998,1.5319999999999998,0.843,0.0,0.563,2.772,-1.429,0.6920000000000001,-1.419,NLL,-999.0,-31.163,91.43799999999999
37,38,2050,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.2790000000000001,1.2790000000000001,0.723,0.0,-0.9259999999999999,2.891,1.17,0.503,0.5820000000000001,NLL,-999.0,-38.577,106.266
38,39,2051,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.728,0.728,2.2840000000000003,0.0,4.394,7.912000000000001,7.912999999999999,-3.987,-4.18,NLL,-999.0,-12.280999999999999,53.675
39,40,2053,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.7480000000000002,1.7480000000000002,0.47600000000000003,0.0,2.9189999999999996,3.096,3.073,-2.117,-0.7290000000000001,NLL,-999.0,-34.72,98.551
40,41,2054,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.37799999999999995,0.37799999999999995,0.26899999999999996,0.0,1.7209999999999999,4.196000000000001,0.578,-0.515,-5.609,NLL,-999.0,-38.228,105.568
41,42,2055,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.06,1.06,0.785,0.0,2.166,3.404,0.84,-1.652,-2.5839999999999996,NLL,-999.0,-28.763,86.639
42,43,2057,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.7960000000000003,2.7960000000000003,0.475,0.0,-2.5140000000000002,7.766,4.609,4.113,10.302,NLL,-999.0,-30.808000000000003,90.729
43,44,2058,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.135,0.0,-0.004,19.995,-14.367,1.857,-19.995,NLL,-999.0,-24.476999999999997,78.065
44,45,2059,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.405,1.405,0.6409999999999999,0.0,5.098,0.002,3.0469999999999997,-3.4419999999999997,-5.627000000000001,NLL,-999.0,-27.738000000000003,84.587
45,46,2062,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.684,0.684,1.271,0.0,11.265999999999998,7.921,-8.681000000000001,-9.725,-10.006,NLL,-999.0,-25.822,80.757
46,47,2063,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.8780000000000001,1.8780000000000001,1.716,0.0,8.077,-3.614,11.386,-7.582999999999999,-7.785,NLL,-999.0,-15.03,59.172
47,48,2065,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.915,1.915,0.93,0.0,4.237,3.657,-1.014,-1.476,-7.176,NLL,-999.0,-20.905,70.921
48,49,2066,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.0859999999999999,1.0859999999999999,0.537,0.0,2.502,2.1109999999999998,1.4040000000000001,-1.105,-2.983,NLL,-999.0,-34.056999999999995,97.226
49,50,2067,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.736,0.736,0.903,0.0,-0.551,3.799,3.728,-2.4,1.147,NLL,-999.0,-24.72,78.551
50,51,2069,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.10400000000000001,0.0,5.952000000000001,19.993,12.698,-13.499,-19.993,NLL,-999.0,-27.429000000000002,83.97
51,52,2070,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.28600000000000003,0.0,14.869000000000002,-5.382999999999999,19.999000000000002,-19.999000000000002,-18.71,NLL,-999.0,-20.469,70.04899999999999
52,53,2071,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.097,1.097,0.669,0.0,-1.354,3.71,3.065,3.7,-0.485,NLL,-999.0,-34.418,97.948
53,54,2072,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.317,0.0,19.212,19.987000000000002,-14.567,-19.987000000000002,-17.59,NLL,-999.0,-29.272,87.656
54,55,2073,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.909,0.909,0.631,0.0,-0.32,4.186,1.883,-1.301,-2.8289999999999997,NLL,-999.0,-31.743000000000002,92.598
55,56,2074,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.773,0.773,0.632,0.0,5.371,-2.079,-3.377,-7.532,-6.861000000000001,NLL,-999.0,-32.859,94.83
56,57,2075,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.206,2.206,0.389,0.0,-1.716,6.002000000000001,0.73,-2.4530000000000003,-1.25,NLL,-999.0,-34.716,98.544
57,58,2079,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.659,0.659,0.613,0.0,-0.317,2.964,1.564,-2.01,-3.306,NLL,-999.0,-31.930999999999997,92.975
58,59,2080,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.33,1.33,0.87,0.0,0.741,3.1660000000000004,0.423,0.317,-2.986,NLL,-999.0,-28.546999999999997,86.206
59,60,2081,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.304,1.304,0.851,0.0,0.494,2.04,3.312,-2.359,-0.6759999999999999,NLL,-999.0,-30.47,90.053
60,61,2082,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.013000000000000001,0.0,-19.63,-19.834,0.212,19.623,19.627,NLL,-999.0,-43.731,116.574
61,62,2083,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.217,1.217,1.012,0.0,3.0039999999999996,-0.917,-1.125,-2.4619999999999997,-2.494,NLL,-999.0,-37.28,103.67200000000001
62,63,2088,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.241,2.241,0.8340000000000001,0.0,-2.157,4.159,-0.066,4.746,-0.9,NLL,-999.0,-25.533,80.178
63,64,2089,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.48,1.48,0.418,0.0,-2.017,7.126,6.385,4.82,0.38299999999999995,NLL,-999.0,-35.6,100.31200000000001
64,65,2093,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.11599999999999999,0.0,-3.272,19.983,12.707,-19.983,-9.321,NLL,-999.0,-26.488000000000003,82.089
65,66,2094,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.608,1.608,0.62,0.0,1.391,3.5269999999999997,0.484,-1.416,2.781,NLL,-999.0,-34.592,98.29700000000001
66,67,2095,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.208,1.208,0.389,0.0,-0.184,4.6610000000000005,-2.7510000000000003,0.055999999999999994,-2.096,NLL,-999.0,-36.733000000000004,102.57799999999999
67,68,2096,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.537,2.537,1.186,0.0,2.8489999999999998,-0.114,-4.124,-1.911,-3.1430000000000002,NLL,-999.0,-22.394000000000002,73.9
68,69,2097,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.713,1.713,0.779,0.0,0.5870000000000001,1.81,-0.43,2.722,-2.696,NLL,-999.0,-31.346,91.804
69,70,2098,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.034,0.034,0.35600000000000004,0.0,1.002,3.1439999999999997,3.1439999999999997,-0.9690000000000001,-8.581,NLL,-999.0,-30.273000000000003,89.65799999999999
70,71,2099,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.07400000000000001,0.0,16.494,3.235,19.932000000000002,-19.863,-19.862000000000002,NLL,-999.0,-33.391999999999996,95.896
71,72,2100,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.264,1.264,0.7959999999999999,0.0,2.057,0.605,1.683,-3.063,-0.61,NLL,-999.0,-31.263,91.63799999999999
72,73,2101,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.9609999999999999,1.9609999999999999,0.42700000000000005,0.0,8.748,-2.95,3.3930000000000002,-6.044,-7.62,NLL,-999.0,-32.194,93.501
73,74,2102,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,3.772,3.772,0.5820000000000001,0.0,6.903,1.906,-3.659,-7.3,-6.266,NLL,-999.0,-25.825,80.762
74,75,2103,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,3.009,3.009,0.22399999999999998,0.0,8.275,0.9209999999999999,1.515,-11.567,-10.370999999999999,NLL,-999.0,-33.574,96.26
75,76,2104,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.445,2.445,0.509,0.0,5.472,4.7139999999999995,-4.8469999999999995,-4.034,-10.677999999999999,NLL,-999.0,-26.183000000000003,81.47800000000001
76,77,2105,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.8219999999999998,1.8219999999999998,0.501,0.0,2.099,1.883,0.44299999999999995,-0.17300000000000001,0.517,NLL,-999.0,-39.486,108.084
77,78,2107,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.632,1.632,1.058,0.0,0.305,4.697,3.685,-3.795,-3.595,NLL,-999.0,-13.526,56.163000000000004
78,79,2108,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.715,1.715,0.609,0.0,4.677,-0.752,-1.315,-4.123,-5.162999999999999,NLL,-999.0,-34.062,97.236
79,80,2109,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.093,1.093,0.526,0.0,4.803999999999999,-2.555,-3.2560000000000002,-5.466,-4.811,NLL,-999.0,-40.705,110.522
80,81,2110,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.319,1.319,0.838,0.0,1.8559999999999999,4.4639999999999995,2.908,-1.618,-1.123,NLL,-999.0,-25.288,79.689
81,82,2111,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.41,2.41,0.8270000000000001,0.0,0.33,2.528,1.733,-0.573,0.8440000000000001,NLL,-999.0,-30.331,89.773
82,83,2112,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.6910000000000003,2.6910000000000003,0.81,0.0,2.073,3.377,-0.669,-2.306,-4.506,NLL,-999.0,-24.845,78.803
83,84,2113,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.843,2.843,0.9329999999999999,0.0,0.025,1.8869999999999998,-0.998,0.655,-1.4180000000000001,NLL,-999.0,-21.959,73.03
84,85,2114,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.146,1.146,0.741,0.0,1.652,1.744,-0.262,3.355,-0.38,NLL,-999.0,-33.652,96.415
85,86,2115,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.672,0.672,1.35,0.0,8.35,9.453,-7.0520000000000005,-9.388,-9.141,NLL,-999.0,-23.988000000000003,77.08800000000001
86,87,2118,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.461,0.461,0.258,0.0,-0.682,8.841000000000001,4.248,5.292999999999999,-3.228,NLL,-999.0,-33.864000000000004,96.84100000000001
87,88,2119,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.536,2.536,0.479,0.0,3.41,3.888,2.251,-5.858,-7.93,NLL,-999.0,-24.896,78.904
88,89,2123,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.8759999999999999,0.8759999999999999,0.364,0.0,-2.682,3.753,0.613,-1.903,-6.718,NLL,-999.0,-32.911,94.934
89,90,2124,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.511,2.511,0.684,0.0,1.368,2.326,-2.019,-0.16,-2.427,NLL,-999.0,-31.583000000000002,92.27799999999999
90,91,2125,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.768,0.768,0.677,0.0,1.932,2.44,2.524,-4.211,-1.095,NLL,-999.0,-27.713,84.537
91,92,2126,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.885,1.885,0.306,0.0,9.103,2.9760000000000004,1.103,-11.491,-11.825999999999999,NLL,-999.0,-26.037,81.186
92,93,2128,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.617,2.617,0.465,0.0,4.2139999999999995,1.286,2.388,-6.724,-3.514,NLL,-999.0,-29.785999999999998,88.685
93,94,2129,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,3.6189999999999998,3.6189999999999998,0.423,0.0,14.752,-5.415,-0.063,-14.453,-11.674000000000001,NLL,-999.0,-26.506999999999998,82.125
94,95,2130,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.076,0.0,-5.572,15.918,19.989,-19.977999999999998,-19.977,NLL,-999.0,-30.991999999999997,91.09700000000001
95,96,2131,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.639,1.639,0.5660000000000001,0.0,0.57,3.115,2.256,-0.946,-2.469,NLL,-999.0,-34.129,97.37
96,97,2132,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.7929999999999999,0.7929999999999999,0.563,0.0,-0.413,5.0680000000000005,6.435,-2.6719999999999997,-0.985,NLL,-999.0,-24.193,77.499
97,98,2133,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,3.395,3.395,1.101,0.0,-0.825,1.6680000000000001,-0.40399999999999997,0.374,-1.0490000000000002,NLL,-999.0,-18.475,66.063
98,99,2134,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.08800000000000001,0.08800000000000001,1.261,0.0,7.62,-5.367999999999999,9.35,-8.225,-8.474,NLL,-999.0,-22.622,74.35600000000001
99,100,2135,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.117,1.117,0.69,0.0,1.072,4.833,3.7969999999999997,-3.622,0.314,NLL,-999.0,-23.725,76.561
100,101,2136,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,6.015,6.015,0.19399999999999998,0.0,6.938,6.653,-0.588,-10.148,-9.763,NLL,-999.0,-32.476,94.064
101,102,2137,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.013,1.013,0.905,0.0,1.286,1.714,1.062,-2.759,-2.645,NLL,-999.0,-29.646,88.405
102,103,2138,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.884,0.884,0.6709999999999999,0.0,2.01,2.096,4.031000000000001,-1.4040000000000001,-1.538,NLL,-999.0,-31.098000000000003,91.307
103,104,2139,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.287,0.287,0.282,0.0,2.782,4.9,1.889,3.134,-2.12,NLL,-999.0,-33.759,96.62899999999999
104,105,2140,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.6890000000000001,0.6890000000000001,1.851,0.0,1.2790000000000001,10.368,-1.66,-2.459,-2.2840000000000003,NLL,-999.0,-29.482,88.07700000000001
105,106,2141,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.39,2.39,0.5329999999999999,0.0,2.511,0.478,1.197,-3.3369999999999997,-2.123,NLL,-999.0,-33.167,95.446
106,107,2142,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.755,1.755,0.517,0.0,2.585,3.3310000000000004,2.5660000000000003,-2.569,-0.28600000000000003,NLL,-999.0,-33.387,95.88600000000001
107,108,2143,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.848,0.848,1.511,0.0,5.968999999999999,-3.443,9.466000000000001,-7.558,-5.672999999999999,NLL,-999.0,-18.180999999999997,65.473
108,109,2144,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.462,1.462,0.635,0.0,1.49,1.33,-1.39,0.261,-3.958,NLL,-999.0,-35.31,99.73200000000001
