,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC
21,22,2030,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.25,0.0,15.539000000000001,-15.526,-19.921,-15.536,-19.921,-11.126,-11.145999999999999,-19.923,-19.928,19.955,19.955,-19.923,-15.544,-11.128,19.955,-11.126,-11.136,NLL,-999.0,-30.83,140.678
22,23,2031,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.361,0.361,1.943,0.0,3.628,4.061,-3.352,-3.49,-11.699000000000002,-2.825,13.933,-3.745,-3.339,-2.795,-2.784,-3.424,-3.153,12.966,13.585999999999999,-3.085,-3.693,NLL,-999.0,-26.453000000000003,131.924
23,24,2032,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.498,0.0,0.018000000000000002,-0.016,-0.016,-0.006,-0.013000000000000001,2.197,2.1919999999999997,-0.018000000000000002,-0.016,19.934,-0.011000000000000001,-0.013000000000000001,-2.224,2.195,-0.013000000000000001,2.2,-19.935,NLL,-999.0,-36.204,151.42700000000002
24,25,2033,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.196,0.196,1.7469999999999999,0.0,4.965,-4.106,6.518,-4.18,-5.341,4.657,7.104,-4.686,-4.795,7.61,5.695,-5.297000000000001,-4.814,-4.065,-4.199,-5.42,-13.152000000000001,NLL,-999.0,-23.932,126.883
25,26,2034,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.147,0.147,2.6310000000000002,0.0,-0.168,0.124,0.033,-6.625,-9.14,0.595,8.31,-0.28300000000000003,-6.297999999999999,0.544,6.284,-0.276,-0.276,0.5489999999999999,6.516,-0.28300000000000003,-8.447000000000001,NLL,-999.0,-21.111,121.24
26,27,2035,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.61,0.61,1.7380000000000002,0.0,4.774,-3.8560000000000003,-3.411,-4.021,-4.194,-4.276,7.292999999999999,-3.685,-4.934,10.457,5.497999999999999,-3.6010000000000004,-4.816,4.592,3.5060000000000002,-3.488,-12.574000000000002,NLL,-999.0,-23.124000000000002,125.266
27,28,2037,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.22899999999999998,0.0,15.182,-15.182,-19.967,-10.389000000000001,-19.967,-15.177,-19.967,-10.389000000000001,-15.179,-19.965,-19.965,-10.392000000000001,-19.965,19.994,-15.179,-10.392000000000001,-10.392000000000001,NLL,-999.0,-35.846,150.71
28,29,2039,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.156,0.156,1.4480000000000002,0.0,3.1710000000000003,-2.9160000000000004,-2.136,-3.688,-3.588,-2.249,-2.175,-2.972,9.296,-2.259,7.797000000000001,-2.211,-3.688,7.388999999999999,-2.324,-2.767,-2.9930000000000003,NLL,-999.0,-31.054000000000002,141.127
29,30,2040,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.107,0.107,1.042,0.0,2.9330000000000003,-2.87,15.037,-1.775,-2.766,-1.845,-2.845,-1.767,-3.875,-2.875,-2.795,-2.8169999999999997,-1.844,-3.798,-1.818,-1.771,-3.7939999999999996,NLL,-999.0,-36.853,152.725
30,31,2041,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.12300000000000001,0.12300000000000001,2.228,0.0,0.245,-0.11699999999999999,-0.057,-0.08199999999999999,-0.09,8.809,-0.044000000000000004,-0.5489999999999999,-15.203,6.645,7.319,0.361,0.325,0.321,0.435,-0.045,0.47700000000000004,NLL,-999.0,-29.905,138.828
31,32,2042,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.644,0.644,1.013,0.0,8.649,-9.052,-7.436,-9.616,-9.218,8.918,-6.746,-8.997,-7.857,-7.099,7.096,-8.703,-8.5,8.56,8.381,-7.865,-8.98,NLL,-999.0,-28.392,135.80200000000002
32,33,2044,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.485,0.485,2.1790000000000003,0.0,3.742,6.486000000000001,-2.72,-3.54,-3.135,4.572,9.765,-3.804,-3.074,3.8689999999999998,-2.85,-3.5669999999999997,-4.063,-2.697,-2.741,-10.527999999999999,-10.717,NLL,-999.0,-23.541,126.1
33,34,2045,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.519,0.0,1.1440000000000001,-3.2539999999999996,-3.262,-19.76,-3.2689999999999997,-19.761,-1.1440000000000001,-3.266,-3.2569999999999997,19.537,19.074,-1.136,0.966,19.334,0.9740000000000001,19.065,19.554000000000002,NLL,-999.0,-21.302,121.62299999999999
34,35,2046,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.24100000000000002,0.24100000000000002,2.425,0.0,1.713,8.34,4.131,-1.67,-1.86,4.918,10.214,-1.208,-6.568,4.359,-1.102,-1.037,-1.2930000000000001,-1.093,4.8839999999999995,-7.51,-1.819,NLL,-999.0,-18.317999999999998,115.655
35,36,2047,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.23600000000000002,0.0,-15.341,15.329,10.687999999999999,10.687999999999999,15.331,15.335999999999999,10.693,10.687999999999999,15.331,19.98,15.334000000000001,-19.993,15.335999999999999,19.973,19.98,15.331,10.686,NLL,-999.0,-37.413000000000004,153.844
36,37,2048,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.27899999999999997,0.0,15.732999999999999,-15.722999999999999,-15.732999999999999,-19.66,-19.665,-15.731,-19.662,-11.796,-19.66,-15.731,19.852999999999998,-15.725999999999999,-11.790999999999999,19.852999999999998,-11.789000000000001,-15.732999999999999,-11.796,NLL,-999.0,-34.635,148.28799999999998
37,38,2050,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.425,0.0,0.001,0.001,2.5789999999999997,-19.999000000000002,-0.001,-0.004,-2.5839999999999996,-0.001,-2.589,2.5839999999999996,-0.001,-0.001,-2.589,-0.009000000000000001,19.999000000000002,-2.5839999999999996,2.5789999999999997,NLL,-999.0,-35.169000000000004,149.357
38,39,2051,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.872999999999999,6.872999999999999,4.227,0.0,9.094,4.213,5.148,-3.1010000000000004,-7.78,0.133,6.731,-2.263,0.374,4.351,0.7040000000000001,1.568,-10.444,8.972999999999999,4.245,-3.076,-0.18600000000000003,NLL,-999.0,-3.139,85.29799999999999
39,40,2053,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.085,0.085,1.5,0.0,0.226,11.017999999999999,9.828,-0.10099999999999999,-0.16,0.584,-0.156,-0.038,-0.105,0.529,0.612,-0.149,-0.899,13.552999999999999,0.654,-0.142,-0.076,NLL,-999.0,-33.336,145.69
40,41,2054,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.473,0.0,1.227,1.105,-3.533,-3.5380000000000003,-1.227,1.095,1.107,-19.976,-3.543,19.925,-1.219,-3.5410000000000004,-3.5410000000000004,19.926,1.115,19.925,1.102,NLL,-999.0,-28.05,135.119
41,42,2055,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.434,0.434,1.6469999999999998,0.0,4.165,-3.022,-3.391,-4.629,-12.366,-3.028,-3.5239999999999996,-3.1910000000000003,-12.238,9.352,-3.18,-4.352,-4.587,5.739,7.646,-3.51,-3.7230000000000003,NLL,-999.0,-25.393,129.805
42,43,2057,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.318,0.0,14.806,-18.248,-18.25,-11.344000000000001,18.915,-11.345999999999998,-18.25,-14.796,-11.342,-18.247,-11.345999999999998,-18.245,-14.796,19.642,-14.796,-14.8,-14.794,NLL,-999.0,-34.109,147.236
43,44,2058,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.588,0.0,-1.217,-17.399,-19.024,-0.65,-18.254,1.2109999999999999,-19.347,-16.649,-19.237000000000002,19.375999999999998,3.075,3.0810000000000004,-0.654,19.352999999999998,19.605,1.2109999999999999,3.0789999999999997,NLL,-999.0,-16.8,112.618
44,45,2059,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.865,0.865,1.9669999999999999,0.0,-0.644,2.633,9.413,1.482,-6.393,9.354,9.796,1.868,1.295,9.791,2.8789999999999996,1.6130000000000002,1.81,9.641,2.3280000000000003,2.399,-6.312,NLL,-999.0,-18.875,116.76899999999999
45,46,2062,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.21899999999999997,0.21899999999999997,1.896,0.0,5.309,6.042999999999999,-4.378,-4.944,-5.385,6.535,-4.789,-4.954,-4.418,3.949,3.346,-4.928,-5.0089999999999995,7.943,2.923,-4.744,-4.205,NLL,-999.0,-25.044,129.107
46,47,2063,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.541,0.0,1.989,18.926,18.587,-1.979,-19.779,18.819000000000003,19.111,-4.013999999999999,-1.9769999999999999,0.046,18.817999999999998,-4.012,0.046,0.055999999999999994,0.057999999999999996,-4.0089999999999995,-4.004,NLL,-999.0,-23.546,126.111
47,48,2065,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.524,0.0,0.456,-0.446,-2.549,-19.61,-19.652,1.6440000000000001,-0.449,-19.719,-2.548,19.406,1.6469999999999998,-0.45399999999999996,-0.451,19.299,19.500999999999998,1.645,-2.545,NLL,-999.0,-24.596,128.21200000000002
48,49,2066,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.5589999999999999,0.0,1.825,17.949,-1.815,-3.78,-19.652,19.007,-1.81,-3.782,-1.815,0.146,17.56,-1.815,-1.82,-1.8130000000000002,19.387,-1.81,-1.818,NLL,-999.0,-28.933000000000003,136.885
49,50,2067,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.69,0.0,0.34299999999999997,16.683,16.539,-0.33799999999999997,1.2429999999999999,18.480999999999998,-0.32799999999999996,-1.915,-0.331,16.817999999999998,19.055,-1.929,-17.797,1.248,1.251,-17.367,-19.054000000000002,NLL,-999.0,-19.567999999999998,118.155
50,51,2069,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.03,1.03,1.864,0.0,2.679,7.648,-2.323,-10.752,-3.13,12.342,-2.0869999999999997,-2.105,-14.386,6.529,6.455,-3.2769999999999997,-3.161,-1.916,5.392,-3.255,-1.7690000000000001,NLL,-999.0,-19.527,118.073
51,52,2070,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.763,0.0,3.702,12.439,11.591,-5.136,-5.138999999999999,13.644,14.12,-18.371,-3.688,12.385,13.368,-3.693,-5.1339999999999995,13.155999999999999,-2.259,-18.496,-19.185,NLL,-999.0,-14.547,108.11200000000001
52,53,2071,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.488,0.0,1.236,-1.226,-1.229,-3.4760000000000004,-1.234,19.612000000000002,1.021,-19.855,-3.4810000000000003,1.028,-1.2309999999999999,19.575,-1.226,1.026,19.548,1.0190000000000001,1.026,NLL,-999.0,-29.618000000000002,138.255
