,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
62,5,5005,3,N.N.,opt,inv,opt_inv,14,3,15,PD,"['Not', 'Defined']",coop,coop,40,1,3925,5132,not defined
63,5,5005,3,N.N.,opt,inv,opt_inv,15,10,5,HG,"['Not', 'Defined']",def,coop,45,0,2331,4143,not defined
64,5,5005,4,N.N.,opt,nat,opt_nat,0,7,15,SG,"['Not', 'Defined']",def,coop,13,0,6222,7933,not defined
65,5,5005,4,N.N.,opt,nat,opt_nat,1,7,5,HG,"['Not', 'Defined']",coop,coop,44,1,2247,3958,not defined
66,5,5005,4,N.N.,opt,nat,opt_nat,2,3,8,SH,"['Not', 'Defined']",coop,coop,48,1,2229,3943,not defined
67,5,5005,4,N.N.,opt,nat,opt_nat,3,0,12,PD,"['Not', 'Defined']",def,def,58,1,2079,3691,not defined
68,5,5005,4,N.N.,opt,nat,opt_nat,4,7,8,HG,"['Not', 'Defined']",coop,coop,81,1,1928,3591,not defined
69,5,5005,4,N.N.,opt,nat,opt_nat,5,0,8,SH,"['Not', 'Defined']",coop,coop,100,1,1475,2734,not defined
70,5,5005,4,N.N.,opt,nat,opt_nat,6,10,15,SG,"['Not', 'Defined']",def,def,100,1,1693,2901,not defined
71,5,5005,4,N.N.,opt,nat,opt_nat,7,0,15,PD,"['Not', 'Defined']",def,def,100,1,1743,3405,not defined
72,5,5005,4,N.N.,opt,nat,opt_nat,8,10,5,HG,"['Not', 'Defined']",coop,coop,100,1,2800,5216,not defined
73,5,5005,4,N.N.,opt,nat,opt_nat,9,3,5,SH,"['Not', 'Defined']",coop,coop,98,1,2299,4144,not defined
74,5,5005,4,N.N.,opt,nat,opt_nat,10,3,15,PD,"['Not', 'Defined']",def,def,100,1,2549,4008,not defined
75,5,5005,4,N.N.,opt,nat,opt_nat,11,10,12,SG,"['Not', 'Defined']",def,def,99,1,1845,3203,not defined
76,5,5005,4,N.N.,opt,nat,opt_nat,12,0,5,SH,"['Not', 'Defined']",coop,coop,99,1,1945,3606,not defined
77,5,5005,4,N.N.,opt,nat,opt_nat,13,3,12,PD,"['Not', 'Defined']",def,def,98,1,1593,3506,not defined
78,5,5005,4,N.N.,opt,nat,opt_nat,14,7,12,SG,"['Not', 'Defined']",def,def,100,1,2113,3674,not defined
79,5,5005,4,N.N.,opt,nat,opt_nat,15,10,8,HG,"['Not', 'Defined']",coop,coop,100,1,3806,6340,not defined
80,5,5005,5,N.N.,pes,_nat,pess_nat,0,3,12,PD,"['Not', 'Defined']",def,def,69,1,2548,4562,not defined
81,5,5005,5,N.N.,pes,_nat,pess_nat,1,7,8,HG,"['Not', 'Defined']",coop,coop,67,1,4058,5921,not defined
82,5,5005,5,N.N.,pes,_nat,pess_nat,2,3,8,SH,"['Not', 'Defined']",def,def,69,1,1745,3406,not defined
83,5,5005,5,N.N.,pes,_nat,pess_nat,3,7,12,SG,"['Not', 'Defined']",coop,coop,75,1,3907,5015,not defined
84,5,5005,5,N.N.,pes,_nat,pess_nat,4,0,15,PD,"['Not', 'Defined']",def,def,82,1,2063,3522,not defined
85,5,5005,5,N.N.,pes,_nat,pess_nat,5,0,8,SH,"['Not', 'Defined']",def,def,75,1,1761,3372,not defined
86,5,5005,5,N.N.,pes,_nat,pess_nat,6,7,15,SG,"['Not', 'Defined']",coop,coop,92,1,2497,4295,not defined
87,5,5005,5,N.N.,pes,_nat,pess_nat,7,7,5,HG,"['Not', 'Defined']",coop,coop,100,1,6303,8621,not defined
88,5,5005,5,N.N.,pes,_nat,pess_nat,8,3,15,PD,"['Not', 'Defined']",def,def,100,1,2096,4261,not defined
89,5,5005,5,N.N.,pes,_nat,pess_nat,9,0,5,SH,"['Not', 'Defined']",def,def,98,1,1678,3992,not defined
90,5,5005,5,N.N.,pes,_nat,pess_nat,10,10,5,HG,"['Not', 'Defined']",coop,coop,99,1,1541,2903,not defined
91,5,5005,5,N.N.,pes,_nat,pess_nat,11,10,15,SG,"['Not', 'Defined']",coop,coop,100,1,2197,4008,not defined
92,5,5005,5,N.N.,pes,_nat,pess_nat,12,10,12,SG,"['Not', 'Defined']",coop,coop,100,1,1844,3405,not defined
93,5,5005,5,N.N.,pes,_nat,pess_nat,13,0,12,PD,"['Not', 'Defined']",def,def,99,1,2381,3741,not defined
94,5,5005,5,N.N.,pes,_nat,pess_nat,14,3,5,SH,"['Not', 'Defined']",def,def,100,1,1794,3708,not defined
95,5,5005,5,N.N.,pes,_nat,pess_nat,15,10,8,HG,"['Not', 'Defined']",coop,coop,100,1,1996,3909,not defined
96,5,5005,6,N.N.,opt,inv,opt_inv,0,7,12,SG,"['Not', 'Defined']",coop,def,8,0,4410,6676,not defined
97,5,5005,6,N.N.,opt,inv,opt_inv,1,7,8,HG,"['Not', 'Defined']",def,coop,91,0,2348,3708,not defined
98,5,5005,6,N.N.,opt,inv,opt_inv,2,0,5,SH,"['Not', 'Defined']",def,def,66,1,1811,3271,not defined
99,5,5005,6,N.N.,opt,inv,opt_inv,3,3,15,PD,"['Not', 'Defined']",coop,def,53,0,2347,3858,not defined
100,5,5005,6,N.N.,opt,inv,opt_inv,4,0,12,PD,"['Not', 'Defined']",coop,coop,72,1,2499,4311,not defined
