,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
54,3,2003,3,E.B.,pess,inv,pess_inv,6,0,12,PD,"['Yellow', 'Blue']",coop,coop,50.0,1,2162.0,4690.0,maximize the opponents score
55,3,2003,3,E.B.,pess,inv,pess_inv,7,0,5,SH,"['Yellow', 'Blue']",coop,coop,50.0,1,2734.0,5605.0,maximize the opponents score
56,3,2003,3,E.B.,pess,inv,pess_inv,8,7,15,SG,"['Yellow', 'Blue']",def,coop,50.0,0,2961.0,5176.0,maximize the opponents score
57,3,2003,3,E.B.,pess,inv,pess_inv,9,0,8,SH,"['Yellow', 'Blue']",coop,coop,50.0,1,2566.0,4944.0,maximize the opponents score
58,3,2003,3,E.B.,pess,inv,pess_inv,10,3,15,PD,"['Yellow', 'Blue']",coop,def,50.0,0,5617.0,6830.0,maximize the opponents score
59,3,2003,3,E.B.,pess,inv,pess_inv,11,7,5,HG,"['Yellow', 'Blue']",def,def,50.0,1,2071.0,4461.0,maximize the opponents score
60,3,2003,3,E.B.,pess,inv,pess_inv,12,3,12,PD,"['Yellow', 'Blue']",coop,coop,50.0,1,2455.0,5096.0,maximize the opponents score
61,3,2003,3,E.B.,pess,inv,pess_inv,13,10,12,SG,"['Yellow', 'Blue']",def,coop,50.0,0,2276.0,5437.0,maximize the opponents score
62,3,2003,3,E.B.,pess,inv,pess_inv,14,3,8,SH,"['Yellow', 'Blue']",coop,coop,50.0,1,1950.0,5065.0,maximize the opponents score
63,3,2003,3,E.B.,pess,inv,pess_inv,15,7,8,HG,"['Yellow', 'Blue']",def,coop,50.0,0,2079.0,6448.0,maximize the opponents score
64,4,2004,0,F.A.,opt,nat,opt_nat,0,0,12,PD,"['Blue', 'Red']",def,coop,90.0,0,6248.0,16600.0,maximize earnings
65,4,2004,0,F.A.,opt,nat,opt_nat,1,0,8,SH,"['Blue', 'Red']",coop,coop,100.0,1,4721.0,9567.0,maximize earnings
66,4,2004,0,F.A.,opt,nat,opt_nat,2,7,15,SG,"['Blue', 'Red']",def,def,80.0,1,5357.0,6837.0,maximize earnings
67,4,2004,0,F.A.,opt,nat,opt_nat,3,7,8,HG,"['Blue', 'Red']",coop,coop,90.0,1,5794.0,7594.0,maximize earnings
68,4,2004,0,F.A.,opt,nat,opt_nat,4,3,12,PD,"['Blue', 'Red']",def,coop,40.0,0,5415.0,6880.0,maximize earnings
69,4,2004,0,F.A.,opt,nat,opt_nat,5,0,5,SH,"['Blue', 'Red']",coop,coop,90.0,1,4353.0,5993.0,maximize earnings
70,4,2004,0,F.A.,opt,nat,opt_nat,6,10,8,HG,"['Blue', 'Red']",coop,coop,100.0,1,13357.0,16974.0,maximize earnings
71,4,2004,0,F.A.,opt,nat,opt_nat,7,10,15,SG,"['Blue', 'Red']",def,def,100.0,1,3615.0,6287.0,maximize earnings
72,4,2004,0,F.A.,opt,nat,opt_nat,8,10,12,SG,"['Blue', 'Red']",def,def,90.0,1,5504.0,7360.0,maximize earnings
73,4,2004,0,F.A.,opt,nat,opt_nat,9,0,15,PD,"['Blue', 'Red']",def,coop,40.0,0,6770.0,9627.0,maximize earnings
74,4,2004,0,F.A.,opt,nat,opt_nat,10,10,5,HG,"['Blue', 'Red']",coop,coop,90.0,1,5265.0,7681.0,maximize earnings
75,4,2004,0,F.A.,opt,nat,opt_nat,11,3,8,SH,"['Blue', 'Red']",coop,coop,100.0,1,3894.0,5470.0,maximize earnings
76,4,2004,0,F.A.,opt,nat,opt_nat,12,7,12,SG,"['Blue', 'Red']",def,def,50.0,1,5641.0,7106.0,maximize earnings
77,4,2004,0,F.A.,opt,nat,opt_nat,13,3,15,PD,"['Blue', 'Red']",def,def,80.0,1,2366.0,3999.0,maximize earnings
