,sub,subID,Trial,Variant,Type_Total,CorrAns,GivenAns,Confidence,sub_score,model_pred_coop,model_pred,model_score
176,5,2005,0,inv,opt_inv,def,coop,60,0,0.792988767189514,coop,0
177,5,2005,1,inv,opt_inv,def,coop,60,0,0.780523056249298,coop,0
178,5,2005,2,inv,opt_inv,coop,def,50,0,0.232264855282263,def,0
179,5,2005,3,inv,opt_inv,coop,coop,50,1,0.33706499754198804,def,0
180,5,2005,4,inv,opt_inv,coop,coop,60,1,0.344041319968249,def,0
181,5,2005,5,inv,opt_inv,def,coop,70,0,0.7430364730719459,coop,0
182,5,2005,6,inv,opt_inv,coop,coop,50,1,0.270482965205462,def,0
183,5,2005,7,inv,opt_inv,def,coop,70,0,0.633112751284605,coop,0
184,5,2005,8,inv,opt_inv,coop,def,60,0,0.290257123058555,def,0
185,5,2005,9,inv,opt_inv,def,def,30,1,0.534374932310491,coop,0
186,5,2005,10,inv,opt_inv,coop,def,40,0,0.30414886213039694,def,0
187,5,2005,11,inv,opt_inv,def,def,40,1,0.6818752944816479,coop,0
188,5,2005,12,inv,opt_inv,coop,def,50,0,0.33214533036680105,def,0
189,5,2005,13,inv,opt_inv,coop,def,50,0,0.478105170853341,def,0
190,5,2005,14,inv,opt_inv,def,def,40,1,0.583538158602128,coop,0
191,5,2005,15,inv,opt_inv,def,coop,60,0,0.647612713423669,coop,0
192,6,2006,0,nat,opt_nat,coop,coop,100,1,0.7633701622340551,coop,1
193,6,2006,1,nat,opt_nat,def,coop,100,0,0.36464444865967793,def,1
194,6,2006,2,nat,opt_nat,coop,coop,100,1,0.7744237066429039,coop,1
195,6,2006,3,nat,opt_nat,def,def,50,1,0.342733966802523,def,1
196,6,2006,4,nat,opt_nat,def,def,40,1,0.322731752624553,def,1
197,6,2006,5,nat,opt_nat,coop,coop,60,1,0.784615542267523,coop,1
198,6,2006,6,nat,opt_nat,coop,coop,70,1,0.794031210376102,coop,1
199,6,2006,7,nat,opt_nat,def,def,40,1,0.304470639401444,def,1
200,6,2006,8,nat,opt_nat,coop,coop,80,1,0.80274684240253,coop,1
201,6,2006,9,nat,opt_nat,coop,coop,80,1,0.810830137935185,coop,1
202,6,2006,10,nat,opt_nat,def,def,70,1,0.28778831483506895,def,1
203,6,2006,11,nat,opt_nat,def,def,90,1,0.272531739048772,def,1
204,6,2006,12,nat,opt_nat,def,def,90,1,0.258559450078008,def,1
205,6,2006,13,nat,opt_nat,coop,coop,90,1,0.8183412906634259,coop,1
206,6,2006,14,nat,opt_nat,def,def,100,1,0.24574246233889602,def,1
207,6,2006,15,nat,opt_nat,coop,coop,100,1,0.825333842282595,coop,1
208,6,2006,0,nat,pess_nat,coop,coop,60,1,0.7633701622340551,coop,1
209,6,2006,1,nat,pess_nat,def,coop,70,0,0.7744237066429039,coop,0
210,6,2006,2,nat,pess_nat,coop,def,40,0,0.36464444865967793,def,0
211,6,2006,3,nat,pess_nat,def,coop,40,0,0.4041472409906551,def,1
