,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,features,fit_to,gaze,gaze_bias,inv_temp,model_descr,model_type,sub_ID,sub_ind
51,19.893,2.53,0.201,0.201,3.462,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.479,,,,,,,,,2.132,-2.035,3.0410000000000004,,,,,,CoGrRiNa,joint,0,0.0,0.275,All Motives,FeatureRL,3022,145
52,78.098,-26.572,0.01,0.01,8.596,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,10.91,,,,,,,,,19.996,7.572999999999999,-18.607,,,,,,CoGrRiNa,joint,0,0.0,0.032,All Motives,FeatureRL,3023,146
53,10.238,7.358,0.235,0.235,2.977,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.273,,,,,,,,,2.681,0.48,0.187,,,,,,CoGrRiNa,joint,0,0.0,0.294,All Motives,FeatureRL,3024,147
54,13.876,5.539,0.01,0.01,3.151,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,13.576,,,,,,,,,12.529000000000002,-8.406,19.95,,,,,,CoGrRiNa,joint,0,0.0,0.034,All Motives,FeatureRL,3026,148
55,24.736,0.108,0.438,0.438,3.734,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.242,,,,,,,,,1.979,2.6830000000000003,5.472,,,,,,CoGrRiNa,joint,0,0.0,0.198,All Motives,FeatureRL,4000,149
56,33.97,-4.508,0.233,0.233,4.314,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.41,,,,,,,,,4.9430000000000005,0.133,2.455,,,,,,CoGrRiNa,joint,0,0.0,0.224,All Motives,FeatureRL,2022,15
57,26.447,-0.747,0.142,0.142,3.835,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.159,,,,,,,,,3.659,-1.2,0.6509999999999999,,,,,,CoGrRiNa,joint,0,0.0,0.235,All Motives,FeatureRL,4001,150
58,33.957,-4.502,0.311,0.311,4.313,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.35,,,,,,,,,2.334,-0.644,0.53,,,,,,CoGrRiNa,joint,0,0.0,0.253,All Motives,FeatureRL,2023,16
59,27.941,-1.494,0.188,0.188,3.926,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.599,,,,,,,,,3.528,0.28800000000000003,0.918,,,,,,CoGrRiNa,joint,0,0.0,0.32299999999999995,All Motives,FeatureRL,2024,17
60,11.198,6.877000000000002,0.383,0.383,3.022,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.335,,,,,,,,,2.287,0.5870000000000001,2.279,,,,,,CoGrRiNa,joint,0,0.0,0.333,All Motives,FeatureRL,2025,18
61,-37.594,31.274,0.01,0.01,1.41,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,19.999,,,,,,,,,6.377000000000002,-1.3330000000000002,2.694,,,,,,CoGrRiNa,joint,0,0.0,0.166,All Motives,FeatureRL,2026,19
62,28.181,-1.614,0.092,0.092,3.941,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.352,,,,,,,,,4.785,0.151,-1.112,,,,,,CoGrRiNa,joint,0,0.0,0.255,All Motives,FeatureRL,2004,2
63,-5.971,15.462,0.01,0.01,2.311,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,13.439,,,,,,,,,19.908,-8.043,11.137,,,,,,CoGrRiNa,joint,0,0.0,0.025,All Motives,FeatureRL,2027,20
64,-30.153,27.553,1.337,1.337,1.584,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.505,,,,,,,,,8.69,-2.172,4.65,,,,,,CoGrRiNa,joint,0,0.0,0.046,All Motives,FeatureRL,2029,21
65,17.495,3.729,0.491,0.491,3.335,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.5,,,,,,,,,2.205,1.659,1.487,,,,,,CoGrRiNa,joint,0,0.0,0.345,All Motives,FeatureRL,2030,22
66,21.4,1.777,0.158,0.158,3.544,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.695,,,,,,,,,2.344,0.38,1.476,,,,,,CoGrRiNa,joint,0,0.0,0.194,All Motives,FeatureRL,2031,23
67,66.63600000000001,-20.841,0.946,0.946,7.187,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.032,,,,,,,,,0.8320000000000001,-1.085,1.816,,,,,,CoGrRiNa,joint,0,0.0,0.307,All Motives,FeatureRL,2032,24
68,4.312,10.321,0.245,0.245,2.714,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.712,,,,,,,,,3.1910000000000003,0.14,-0.963,,,,,,CoGrRiNa,joint,0,0.0,0.338,All Motives,FeatureRL,2033,25
69,-6.114,15.534,0.206,0.206,2.306,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.252,,,,,,,,,3.281,0.7559999999999999,0.507,,,,,,CoGrRiNa,joint,0,0.0,0.28,All Motives,FeatureRL,2034,26
70,60.163,-17.605,0.201,0.201,6.495,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.0340000000000003,,,,,,,,,2.592,0.536,1.238,,,,,,CoGrRiNa,joint,0,0.0,0.244,All Motives,FeatureRL,2035,27
71,41.232,-8.14,1.119,1.119,4.832,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.239,,,,,,,,,-0.797,0.22,1.604,,,,,,CoGrRiNa,joint,0,0.0,0.451,All Motives,FeatureRL,2037,28
72,36.715,-5.881,0.293,0.293,4.503,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.845,,,,,,,,,1.545,0.31,0.648,,,,,,CoGrRiNa,joint,0,0.0,0.225,All Motives,FeatureRL,2039,29
73,9.265,7.8439999999999985,0.16399999999999998,0.16399999999999998,2.932,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.311,,,,,,,,,4.372,-0.602,3.882,,,,,,CoGrRiNa,joint,0,0.0,0.161,All Motives,FeatureRL,2005,3
74,47.958,-11.502,0.471,0.471,5.367000000000001,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.845,,,,,,,,,-0.16699999999999998,-0.373,-0.053,,,,,,CoGrRiNa,joint,0,0.0,0.441,All Motives,FeatureRL,2040,30
75,7.945,8.504,0.8079999999999999,0.8079999999999999,2.872,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.263,,,,,,,,,2.786,2.2030000000000003,1.973,,,,,,CoGrRiNa,joint,0,0.0,0.242,All Motives,FeatureRL,2041,31
76,32.398,-3.722,0.344,0.344,4.209,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.541,,,,,,,,,3.758,0.609,1.548,,,,,,CoGrRiNa,joint,0,0.0,0.185,All Motives,FeatureRL,2042,32
77,27.063,-1.055,0.201,0.201,3.873,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.084,,,,,,,,,4.17,-0.588,-1.3130000000000002,,,,,,CoGrRiNa,joint,0,0.0,0.381,All Motives,FeatureRL,2044,33
78,59.149,-17.098,0.189,0.189,6.393,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.809,,,,,,,,,0.757,4.18,0.322,,,,,,CoGrRiNa,joint,0,0.0,0.369,All Motives,FeatureRL,2045,34
