sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC
176,5030,joint,3,0011,Risk_Nash,0,0,0,0.25,0.25,0.213,0.0,1.072,2.274,,,SSE,4.76,29.041,-38.675
176,5030,joint,4,0100,Greed,0,0,0,1.094,1.094,0.10300000000000001,0.0,4.489,,,,SSE,4.984,26.105999999999998,-37.656
176,5030,joint,5,0101,Greed_Nash,0,0,0,0.355,0.355,0.237,0.0,0.945,2.125,,,SSE,4.312,35.375,-51.342
176,5030,joint,6,0110,Greed_Risk,0,0,0,0.369,0.369,0.256,0.0,1.854,1.963,,,SSE,3.6210000000000004,46.556000000000004,-73.705
176,5030,joint,7,0111,Greed_Risk_Nash,0,0,0,0.284,0.284,0.24600000000000002,0.0,1.6230000000000002,1.725,0.6629999999999999,,SSE,3.719,44.842,-65.423
176,5030,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,-10.364,,,,SSE,6.881,5.465,3.6260000000000003
176,5030,joint,9,1001,Coop_Nash,0,0,0,0.299,0.299,0.196,0.0,-0.6759999999999999,3.014,,,SSE,5.032,25.498,-31.587
176,5030,joint,10,1010,Coop_Risk,0,0,0,0.196,0.196,0.183,0.0,-0.6409999999999999,2.316,,,SSE,5.579,18.885,-18.362000000000002
176,5030,joint,11,1011,Coop_Risk_Nash,0,0,0,0.22699999999999998,0.22699999999999998,0.21600000000000003,0.0,-0.5720000000000001,1.0270000000000001,2.217,,SSE,4.723,29.55,-34.84
176,5030,joint,12,1100,Coop_Greed,0,0,0,0.446,0.446,0.244,0.0,-0.562,1.8719999999999999,,,SSE,4.963,26.372,-33.336
176,5030,joint,13,1101,Coop_Greed_Nash,0,0,0,0.366,0.366,0.22399999999999998,0.0,-0.607,1.006,2.215,,SSE,4.275,35.921,-47.581
176,5030,joint,14,1110,Coop_Greed_Risk,0,0,0,0.445,0.445,0.21600000000000003,0.0,-0.615,2.185,2.3040000000000003,,SSE,3.568,47.495,-70.73
176,5030,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.455,0.455,0.154,0.0,-0.8270000000000001,2.588,2.735,1.051,SSE,3.667,45.75,-62.388000000000005
177,5031,joint,1,0001,Nash,0,0,0,0.578,0.578,0.306,0.0,4.927,,,,SSE,8.824,-10.460999999999999,35.477
177,5031,joint,2,0010,Risk,0,0,0,0.429,0.429,0.239,0.0,2.031,,,,SSE,14.209000000000001,-40.943000000000005,96.441
177,5031,joint,3,0011,Risk_Nash,0,0,0,0.34299999999999997,0.34299999999999997,0.361,0.0,-0.551,4.703,,,SSE,7.97,-3.949,27.305
177,5031,joint,4,0100,Greed,0,0,0,0.285,0.285,0.24600000000000002,0.0,3.875,,,,SSE,10.491,-21.535,57.625
177,5031,joint,5,0101,Greed_Nash,0,0,0,0.324,0.324,0.21100000000000002,0.0,2.719,4.704,,,SSE,8.001,-4.203,27.814
177,5031,joint,6,0110,Greed_Risk,0,0,0,0.309,0.309,0.32899999999999996,0.0,3.2239999999999998,1.729,,,SSE,8.666,-9.309,38.025999999999996
177,5031,joint,7,0111,Greed_Risk_Nash,0,0,0,0.261,0.261,0.331,0.0,1.949,0.45399999999999996,3.08,,SSE,7.386,0.917,22.426
177,5031,joint,8,1000,Coop,0,0,0,0.191,0.191,0.092,0.0,1.882,,,,SSE,15.716,-47.398,109.351
177,5031,joint,9,1001,Coop_Nash,0,0,0,0.27699999999999997,0.27699999999999997,0.7020000000000001,0.0,0.41700000000000004,2.198,,,SSE,8.519,-8.203,35.815
177,5031,joint,10,1010,Coop_Risk,0,0,0,1.004,1.004,0.109,0.0,1.777,4.542,,,SSE,13.937999999999999,-39.714,98.836
177,5031,joint,11,1011,Coop_Risk_Nash,0,0,0,0.31,0.31,0.44,0.0,0.667,-0.43,4.005,,SSE,7.595,-0.853,25.967
177,5031,joint,12,1100,Coop_Greed,0,0,0,0.28,0.28,0.301,0.0,0.7829999999999999,3.2689999999999997,,,SSE,10.166,-19.516,58.43899999999999
177,5031,joint,13,1101,Coop_Greed_Nash,0,0,0,0.262,0.262,0.295,0.0,0.8320000000000001,2.0140000000000002,3.403,,SSE,7.715,-1.8630000000000002,27.986
177,5031,joint,14,1110,Coop_Greed_Risk,0,0,0,0.341,0.341,0.35600000000000004,0.0,0.7140000000000001,3.1010000000000004,1.6480000000000001,,SSE,8.212,-5.854,35.968
177,5031,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.12300000000000001,0.12300000000000001,0.7859999999999999,0.0,0.34600000000000003,0.857,0.20199999999999999,1.3319999999999999,SSE,7.004,4.33,20.452
178,5032,joint,1,0001,Nash,0,0,0,2.035,2.035,0.163,0.0,1.645,,,,SSE,11.557,-27.721999999999998,70.0
178,5032,joint,2,0010,Risk,0,0,0,0.027000000000000003,0.027000000000000003,0.297,0.0,-0.716,,,,SSE,12.758,-34.048,82.652
178,5032,joint,3,0011,Risk_Nash,0,0,0,0.225,0.225,0.22399999999999998,0.0,-1.87,1.8619999999999999,,,SSE,11.912,-29.66,78.727
178,5032,joint,4,0100,Greed,0,0,0,1.835,1.835,0.172,0.0,4.958,,,,SSE,7.747999999999999,-2.134,18.824
178,5032,joint,5,0101,Greed_Nash,0,0,0,0.633,0.633,0.409,0.0,2.416,-0.758,,,SSE,7.084,3.6039999999999996,12.2
178,5032,joint,6,0110,Greed_Risk,0,0,0,0.735,0.735,0.212,0.0,3.233,-1.187,,,SSE,8.747,-9.895,39.199
178,5032,joint,7,0111,Greed_Risk_Nash,0,0,0,0.41200000000000003,0.41200000000000003,0.314,0.0,2.68,-0.172,-0.985,,SSE,8.493,-8.009,40.279
178,5032,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,13.037,,,,SSE,12.981,-35.16,84.875
178,5032,joint,9,1001,Coop_Nash,0,0,0,1.005,1.005,0.35700000000000004,0.0,0.987,0.7859999999999999,,,SSE,11.308,-26.326999999999998,72.063
178,5032,joint,10,1010,Coop_Risk,0,0,0,0.057999999999999996,0.057999999999999996,0.083,0.0,1.619,-2.5660000000000003,,,SSE,12.625,-33.379,86.166
178,5032,joint,11,1011,Coop_Risk_Nash,0,0,0,0.237,0.237,0.218,0.0,0.6779999999999999,-1.8880000000000001,1.876,,SSE,11.797,-29.037,82.333
178,5032,joint,12,1100,Coop_Greed,0,0,0,0.8540000000000001,0.8540000000000001,0.415,0.0,0.8690000000000001,1.989,,,SSE,7.269,1.952,15.505
178,5032,joint,13,1101,Coop_Greed_Nash,0,0,0,0.9229999999999999,0.9229999999999999,0.33299999999999996,0.0,1.0170000000000001,2.9989999999999997,-1.023,,SSE,6.5120000000000005,8.993,6.274
178,5032,joint,14,1110,Coop_Greed_Risk,0,0,0,0.613,0.613,0.28600000000000003,0.0,0.7929999999999999,2.405,-0.866,,SSE,8.416,-7.425,39.11
178,5032,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.579,0.579,0.249,0.0,0.903,3.4989999999999997,-0.15,-1.402,SSE,8.171,-5.53,40.171
179,5033,joint,1,0001,Nash,0,0,0,0.599,0.599,0.298,0.0,2.221,,,,SSE,9.149,-12.77,40.096
179,5033,joint,2,0010,Risk,0,0,0,0.159,0.159,0.14800000000000002,0.0,2.526,,,,SSE,10.289000000000001,-20.283,55.122
179,5033,joint,3,0011,Risk_Nash,0,0,0,0.214,0.214,0.21100000000000002,0.0,0.887,2.031,,,SSE,9.471,-14.984000000000002,49.376000000000005
179,5033,joint,4,0100,Greed,0,0,0,0.505,0.505,0.17,0.0,2.862,,,,SSE,9.636000000000001,-16.088,46.732
179,5033,joint,5,0101,Greed_Nash,0,0,0,0.39,0.39,0.23800000000000002,0.0,1.3230000000000002,1.8630000000000002,,,SSE,8.76,-9.99,39.388000000000005
179,5033,joint,6,0110,Greed_Risk,0,0,0,0.244,0.244,0.23800000000000002,0.0,1.963,1.693,,,SSE,8.657,-9.23,37.868
179,5033,joint,7,0111,Greed_Risk_Nash,0,0,0,0.242,0.242,0.23600000000000002,0.0,2.072,1.7590000000000001,0.084,,SSE,8.443999999999999,-7.6339999999999995,39.529
179,5033,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,1.412,,,,SSE,11.356,-26.599,67.75399999999999
179,5033,joint,9,1001,Coop_Nash,0,0,0,0.852,0.852,0.217,0.0,0.067,2.991,,,SSE,9.142999999999999,-12.725,44.858999999999995
179,5033,joint,10,1010,Coop_Risk,0,0,0,0.163,0.163,0.14,0.0,0.102,2.6719999999999997,,,SSE,10.292,-20.301,60.01
