,sub,part,block,player_type,trial,num,num_S_T,dur_pct
313,5,1,3.0,pess_inv,35,T_2,T,0.11088985659201261
314,5,1,3.0,pess_inv,35,no_num,no_S_T,0.751281189849386
315,5,1,3.0,pess_inv,36,10_1,no_S_T,0.0340488333025422
316,5,1,3.0,pess_inv,36,10_2,no_S_T,0.0
317,5,1,3.0,pess_inv,36,5_1,no_S_T,0.10849384901327254
318,5,1,3.0,pess_inv,36,5_2,no_S_T,0.06810067411095978
319,5,1,3.0,pess_inv,36,S_1,S,0.13976889465566206
320,5,1,3.0,pess_inv,36,S_2,S,0.0
321,5,1,3.0,pess_inv,36,T_1,T,0.0
322,5,1,3.0,pess_inv,36,T_2,T,0.07418815152761309
323,5,1,3.0,pess_inv,36,no_num,no_S_T,0.5753995973899504
324,5,1,3.0,pess_inv,37,10_1,no_S_T,0.11672861503733538
325,5,1,3.0,pess_inv,37,10_2,no_S_T,0.057739946215923585
326,5,1,3.0,pess_inv,37,5_1,no_S_T,0.13297198650050152
327,5,1,3.0,pess_inv,37,5_2,no_S_T,0.0
328,5,1,3.0,pess_inv,37,S_1,S,0.10696824646665622
329,5,1,3.0,pess_inv,37,S_2,S,0.0
330,5,1,3.0,pess_inv,37,T_1,T,0.0
331,5,1,3.0,pess_inv,37,T_2,T,0.1699269056556676
332,5,1,3.0,pess_inv,37,no_num,no_S_T,0.4156643001239157
333,5,1,3.0,pess_inv,38,10_1,no_S_T,0.09232929986375801
334,5,1,3.0,pess_inv,38,10_2,no_S_T,0.0
335,5,1,3.0,pess_inv,38,5_1,no_S_T,0.018270372325588365
336,5,1,3.0,pess_inv,38,5_2,no_S_T,0.0
337,5,1,3.0,pess_inv,38,S_1,S,0.31641854892524235
338,5,1,3.0,pess_inv,38,S_2,S,0.01633751126705042
339,5,1,3.0,pess_inv,38,T_1,T,0.0
340,5,1,3.0,pess_inv,38,T_2,T,0.07922170808859816
341,5,1,3.0,pess_inv,38,no_num,no_S_T,0.4774225595297627
342,5,1,3.0,pess_inv,39,10_1,no_S_T,0.07736665264961293
343,5,1,3.0,pess_inv,39,10_2,no_S_T,0.0
344,5,1,3.0,pess_inv,39,5_1,no_S_T,0.14989035999920278
345,5,1,3.0,pess_inv,39,5_2,no_S_T,0.0
346,5,1,3.0,pess_inv,39,S_1,S,0.0467125021455109
